sp|P0A0Z7|NEUA_NEIMB	24d9dcb43e6021dcb5db3dd54c81e32b	228	Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	1	228	1.7E-73	T	07-10-2025	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
sp|P0A0Z7|NEUA_NEIMB	24d9dcb43e6021dcb5db3dd54c81e32b	228	CDD	cd02513	CMP-NeuAc_Synthase	5	223	3.71609E-92	T	07-10-2025	-	-	-	-
sp|P0A0Z7|NEUA_NEIMB	24d9dcb43e6021dcb5db3dd54c81e32b	228	Pfam	PF02348	Cytidylyltransferase	6	154	1.8E-20	T	07-10-2025	IPR003329	Acylneuraminate cytidylyltransferase	-	-
sp|P0A0Z7|NEUA_NEIMB	24d9dcb43e6021dcb5db3dd54c81e32b	228	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	5	226	3.18E-49	T	07-10-2025	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
sp|P0A0Z7|NEUA_NEIMB	24d9dcb43e6021dcb5db3dd54c81e32b	228	PANTHER	PTHR21485	HAD SUPERFAMILY MEMBERS CMAS AND KDSC	2	224	9.2E-58	T	07-10-2025	IPR050793	CMP-NeuNAc synthase	-	-
sp|P0A4V0|NEUA_STRA3	999a47135797966a367f9494b2d27718	413	Gene3D	G3DSA:3.40.50.1110	SGNH hydrolase	227	404	1.2E-20	T	07-10-2025	IPR036514	SGNH hydrolase superfamily	-	-
sp|P0A4V0|NEUA_STRA3	999a47135797966a367f9494b2d27718	413	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	1	217	8.56E-47	T	07-10-2025	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
sp|P0A4V0|NEUA_STRA3	999a47135797966a367f9494b2d27718	413	SUPERFAMILY	SSF52266	SGNH hydrolase	243	399	4.33E-25	T	07-10-2025	-	-	-	-
sp|P0A4V0|NEUA_STRA3	999a47135797966a367f9494b2d27718	413	Pfam	PF02348	Cytidylyltransferase	4	238	2.1E-54	T	07-10-2025	IPR003329	Acylneuraminate cytidylyltransferase	-	-
sp|P0A4V0|NEUA_STRA3	999a47135797966a367f9494b2d27718	413	PANTHER	PTHR21485	HAD SUPERFAMILY MEMBERS CMAS AND KDSC	4	240	5.4E-47	T	07-10-2025	IPR050793	CMP-NeuNAc synthase	-	-
sp|P0A4V0|NEUA_STRA3	999a47135797966a367f9494b2d27718	413	Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	1	218	1.5E-59	T	07-10-2025	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
sp|P0A4V0|NEUA_STRA3	999a47135797966a367f9494b2d27718	413	CDD	cd02513	CMP-NeuAc_Synthase	2	217	1.14541E-83	T	07-10-2025	-	-	-	-
sp|P0A4V0|NEUA_STRA3	999a47135797966a367f9494b2d27718	413	Pfam	PF13472	GDSL-like Lipase/Acylhydrolase family	267	396	5.0E-9	T	07-10-2025	IPR013830	SGNH hydrolase-type esterase domain	-	-
sp|P13266|NEUA_ECOK8	874936541f4ae558681cdbe8f78960c2	419	Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	1	221	2.1E-57	T	07-10-2025	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
sp|P13266|NEUA_ECOK8	874936541f4ae558681cdbe8f78960c2	419	Pfam	PF13472	GDSL-like Lipase/Acylhydrolase family	271	408	1.9E-9	T	07-10-2025	IPR013830	SGNH hydrolase-type esterase domain	-	-
sp|P13266|NEUA_ECOK8	874936541f4ae558681cdbe8f78960c2	419	CDD	cd02513	CMP-NeuAc_Synthase	4	220	4.37145E-81	T	07-10-2025	-	-	-	-
sp|P13266|NEUA_ECOK8	874936541f4ae558681cdbe8f78960c2	419	PANTHER	PTHR21485	HAD SUPERFAMILY MEMBERS CMAS AND KDSC	3	223	3.0E-48	T	07-10-2025	IPR050793	CMP-NeuNAc synthase	-	-
sp|P13266|NEUA_ECOK8	874936541f4ae558681cdbe8f78960c2	419	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	4	223	6.57E-47	T	07-10-2025	IPR029044	Nucleotide-diphospho-sugar transferases	-	-
sp|P13266|NEUA_ECOK8	874936541f4ae558681cdbe8f78960c2	419	Gene3D	G3DSA:3.40.50.1110	SGNH hydrolase	222	418	2.2E-27	T	07-10-2025	IPR036514	SGNH hydrolase superfamily	-	-
sp|P13266|NEUA_ECOK8	874936541f4ae558681cdbe8f78960c2	419	CDD	cd01841	NnaC_like	251	418	8.25775E-50	T	07-10-2025	-	-	-	-
sp|P13266|NEUA_ECOK8	874936541f4ae558681cdbe8f78960c2	419	Pfam	PF02348	Cytidylyltransferase	6	230	3.2E-24	T	07-10-2025	IPR003329	Acylneuraminate cytidylyltransferase	-	-
sp|P13266|NEUA_ECOK8	874936541f4ae558681cdbe8f78960c2	419	SUPERFAMILY	SSF52266	SGNH hydrolase	232	418	3.83E-32	T	07-10-2025	-	-	-	-
