AAC43301.1	f26848173d254d6d0c5d1bb911368f07	207	ProSitePatterns	PS00101	Hexapeptide-repeat containing-transferases signature.	161	189	-	T	07-10-2025	IPR018357	Hexapeptide transferase, conserved site	-	-
AAC43301.1	f26848173d254d6d0c5d1bb911368f07	207	SUPERFAMILY	SSF51161	Trimeric LpxA-like enzymes	2	203	2.91E-35	T	07-10-2025	IPR011004	Trimeric LpxA-like superfamily	-	-
AAC43301.1	f26848173d254d6d0c5d1bb911368f07	207	CDD	cd03360	LbH_AT_putative	7	199	3.93166E-59	T	07-10-2025	IPR020019	Acyltransferase PglD-like	-	-
AAC43301.1	f26848173d254d6d0c5d1bb911368f07	207	PANTHER	PTHR43300	ACETYLTRANSFERASE	50	204	2.0E-23	T	07-10-2025	IPR050179	Transferase hexapeptide repeat	-	-
AAC43301.1	f26848173d254d6d0c5d1bb911368f07	207	Gene3D	G3DSA:3.40.50.20	-	1	84	1.5E-15	T	07-10-2025	-	-	-	-
AAC43301.1	f26848173d254d6d0c5d1bb911368f07	207	Pfam	PF17836	PglD N-terminal domain	4	76	2.3E-14	T	07-10-2025	IPR041561	PglD, N-terminal	-	-
AAC43301.1	f26848173d254d6d0c5d1bb911368f07	207	NCBIfam	TIGR03570	NeuD/PglB/VioB family sugar acetyltransferase	4	201	2.6E-56	T	07-10-2025	IPR020019	Acyltransferase PglD-like	-	-
AAC43301.1	f26848173d254d6d0c5d1bb911368f07	207	Gene3D	G3DSA:2.160.10.10	Hexapeptide repeat proteins	85	207	7.6E-23	T	07-10-2025	-	-	-	-
WP_379703507.1	ff53ae7aa720586b19be7ea1dfb1ee62	208	Pfam	PF17836	PglD N-terminal domain	3	74	9.3E-4	T	07-10-2025	IPR041561	PglD, N-terminal	-	-
WP_379703507.1	ff53ae7aa720586b19be7ea1dfb1ee62	208	Gene3D	G3DSA:2.160.10.10	Hexapeptide repeat proteins	89	208	2.6E-30	T	07-10-2025	-	-	-	-
WP_379703507.1	ff53ae7aa720586b19be7ea1dfb1ee62	208	SUPERFAMILY	SSF51161	Trimeric LpxA-like enzymes	4	206	2.08E-36	T	07-10-2025	IPR011004	Trimeric LpxA-like superfamily	-	-
WP_379703507.1	ff53ae7aa720586b19be7ea1dfb1ee62	208	NCBIfam	TIGR03570	NeuD/PglB/VioB family sugar acetyltransferase	3	203	2.3E-50	T	07-10-2025	IPR020019	Acyltransferase PglD-like	-	-
WP_379703507.1	ff53ae7aa720586b19be7ea1dfb1ee62	208	ProSitePatterns	PS00101	Hexapeptide-repeat containing-transferases signature.	146	174	-	T	07-10-2025	IPR018357	Hexapeptide transferase, conserved site	-	-
WP_379703507.1	ff53ae7aa720586b19be7ea1dfb1ee62	208	PANTHER	PTHR43300	ACETYLTRANSFERASE	68	207	2.0E-30	T	07-10-2025	IPR050179	Transferase hexapeptide repeat	-	-
WP_379703507.1	ff53ae7aa720586b19be7ea1dfb1ee62	208	Pfam	PF00132	Bacterial transferase hexapeptide (six repeats)	155	189	2.4E-5	T	07-10-2025	IPR001451	Hexapeptide repeat	-	-
WP_379703507.1	ff53ae7aa720586b19be7ea1dfb1ee62	208	Gene3D	G3DSA:3.40.50.20	-	2	88	7.4E-10	T	07-10-2025	-	-	-	-
WP_379703507.1	ff53ae7aa720586b19be7ea1dfb1ee62	208	CDD	cd03360	LbH_AT_putative	4	202	5.51731E-44	T	07-10-2025	IPR020019	Acyltransferase PglD-like	-	-
